County,State,Date,EV_Total_Pred
Virginia Beach,VA,2024-01-31,2.6990476190476187
Volusia,FL,2024-01-31,1.123472179976457
Wahkiakum,WA,2024-01-31,113.14166666666667
Wake,NC,2024-01-31,1.9598375318149692
Walla Walla,WA,2024-01-31,299.17
Washington,MD,2024-01-31,1.123472179976457
Washington,OR,2024-01-31,1.123472179976457
Washoe,NV,2024-01-31,1.123472179976457
Washtenaw,MI,2024-01-31,1.9598375318149692
Wayne,MI,2024-01-31,1.123472179976457
Whatcom,WA,2024-01-31,1410.36
Whitman,WA,2024-01-31,260.2652777777778
Wichita,TX,2024-01-31,1.9598375318149692
Williams,ND,2024-01-31,1.123472179976457
Williamsburg,VA,2024-01-31,1.123472179976457
Williamson,TX,2024-01-31,1.123472179976457
Wilson,NC,2024-01-31,1.123472179976457
Wilson,TX,2024-01-31,1.123472179976457
Wood,OH,2024-01-31,1.123472179976457
Worcester,MA,2024-01-31,1.123472179976457
Yakima,WA,2024-01-31,671.22
Yamhill,OR,2024-01-31,1.123472179976457
Yavapai,AZ,2024-01-31,1.123472179976457
Yellowstone,MT,2024-01-31,1.123472179976457
Yolo,CA,2024-01-31,1.123472179976457
York,VA,2024-01-31,1.123472179976457
Yuba,CA,2024-01-31,1.123472179976457
